metaphone2_damerau,metaphone2_four_cosine,metaphone2_four_jaccard,metaphone2_four_n_gram,metaphone2_four_overlap,metaphone2_four_q_gram,metaphone2_jw,metaphone2_lcs,metaphone2_lev,metaphone2_metric_lcs,metaphone2_normalized_lev,metaphone2_osa,metaphone2_sift,metaphone2_sorensen,metaphone2_three_cosine,metaphone2_three_jaccard,metaphone2_three_n_gram,metaphone2_three_overlap,metaphone2_three_q_gram,metaphone2_two_cosine,metaphone2_two_jaccard,metaphone2_two_n_gram,metaphone2_two_overlap,metaphone2_two_q_gram,metaphone3_damerau,metaphone3_four_cosine,metaphone3_four_jaccard,metaphone3_four_n_gram,metaphone3_four_overlap,metaphone3_four_q_gram,metaphone3_jw,metaphone3_lcs,metaphone3_lev,metaphone3_metric_lcs,metaphone3_normalized_lev,metaphone3_osa,metaphone3_sift,metaphone3_sorensen,metaphone3_three_cosine,metaphone3_three_jaccard,metaphone3_three_n_gram,metaphone3_three_overlap,metaphone3_three_q_gram,metaphone3_two_cosine,metaphone3_two_jaccard,metaphone3_two_n_gram,metaphone3_two_overlap,metaphone3_two_q_gram,conc_lev_wordnet,conc_cos_wordnet,conc_lcs_wordnet,vgg16_img_sim,vgg19_img_sim,resnet50_img_sim,spacy_item_similarity
10.0,0.7807200583588266,0.4166666666666667,0.1805555555555555,1.0,10.0,0.897119341563786,10.0,10.0,0.5555555555555556,0.4444444444444444,10.0,10.0,0.6666666666666666,0.8333333333333335,0.5,0.1666666666666666,1.0,10.0,0.8824975032927699,0.6363636363636364,0.1666666666666666,1.0,10.0,2.0,0.4999999999999999,0.3333333333333333,0.6166666666666666,0.5,2.0,0.8666666666666667,2.0,2.0,0.1999999999999999,0.6,2.0,1.0,0.6666666666666666,0.6666666666666667,0.5,0.5666666666666667,0.6666666666666666,2.0,0.75,0.6,0.5,0.75,2.0,0.1176470588235294,0.2105263157894736,0.0952380952380952,0.5865593,0.5022229,0.5976836,0.4972901192635265
10.0,0.7807200583588266,0.4166666666666667,0.1805555555555555,1.0,10.0,0.897119341563786,10.0,10.0,0.5555555555555556,0.4444444444444444,10.0,10.0,0.6666666666666666,0.8333333333333335,0.5,0.1666666666666666,1.0,10.0,0.8824975032927699,0.6363636363636364,0.1666666666666666,1.0,10.0,2.0,0.4999999999999999,0.3333333333333333,0.6166666666666666,0.5,2.0,0.8666666666666667,2.0,2.0,0.1999999999999999,0.6,2.0,1.0,0.6666666666666666,0.6666666666666667,0.5,0.5666666666666667,0.6666666666666666,2.0,0.75,0.6,0.5,0.75,2.0,0.1176470588235294,0.2105263157894736,0.0952380952380952,0.5865593,0.5022229,0.5976836,0.5561504637746317
10.0,0.7807200583588266,0.4166666666666667,0.1805555555555555,1.0,10.0,0.897119341563786,10.0,10.0,0.5555555555555556,0.4444444444444444,10.0,10.0,0.6666666666666666,0.8333333333333335,0.5,0.1666666666666666,1.0,10.0,0.8824975032927699,0.6363636363636364,0.1666666666666666,1.0,10.0,2.0,0.4999999999999999,0.3333333333333333,0.6166666666666666,0.5,2.0,0.8666666666666667,2.0,2.0,0.1999999999999999,0.6,2.0,1.0,0.6666666666666666,0.6666666666666667,0.5,0.5666666666666667,0.6666666666666666,2.0,0.75,0.6,0.5,0.75,2.0,0.1176470588235294,0.2105263157894736,0.0952380952380952,0.5865593,0.5022229,0.5976836,0.5191649690511362
10.0,0.7807200583588266,0.4166666666666667,0.1805555555555555,1.0,10.0,0.897119341563786,10.0,10.0,0.5555555555555556,0.4444444444444444,10.0,10.0,0.6666666666666666,0.8333333333333335,0.5,0.1666666666666666,1.0,10.0,0.8824975032927699,0.6363636363636364,0.1666666666666666,1.0,10.0,2.0,0.4999999999999999,0.3333333333333333,0.6166666666666666,0.5,2.0,0.8666666666666667,2.0,2.0,0.1999999999999999,0.6,2.0,1.0,0.6666666666666666,0.6666666666666667,0.5,0.5666666666666667,0.6666666666666666,2.0,0.75,0.6,0.5,0.75,2.0,0.1176470588235294,0.2105263157894736,0.0952380952380952,0.5865593,0.5022229,0.5976836,0.2946970343744275
10.0,0.7807200583588266,0.4166666666666667,0.1805555555555555,1.0,10.0,0.897119341563786,10.0,10.0,0.5555555555555556,0.4444444444444444,10.0,10.0,0.6666666666666666,0.8333333333333335,0.5,0.1666666666666666,1.0,10.0,0.8824975032927699,0.6363636363636364,0.1666666666666666,1.0,10.0,2.0,0.4999999999999999,0.3333333333333333,0.6166666666666666,0.5,2.0,0.8666666666666667,2.0,2.0,0.1999999999999999,0.6,2.0,1.0,0.6666666666666666,0.6666666666666667,0.5,0.5666666666666667,0.6666666666666666,2.0,0.75,0.6,0.5,0.75,2.0,0.1176470588235294,0.2105263157894736,0.0952380952380952,0.5865593,0.5022229,0.5976836,0.667216866708494
3.0,0.0,0.0,0.5,0.0,3.0,0.8833333333333334,3.0,3.0,0.5,0.5,3.0,3.0,0.4,0.5,0.25,0.5,1.0,3.0,0.6324555320336759,0.4,0.4166666666666667,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4444444444444444,1.0,1.0,0.5790094,0.5178615,0.49715772,0.2087434287399713
3.0,0.0,0.0,0.5,0.0,3.0,0.8833333333333334,3.0,3.0,0.5,0.5,3.0,3.0,0.4,0.5,0.25,0.5,1.0,3.0,0.6324555320336759,0.4,0.4166666666666667,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4444444444444444,1.0,1.0,0.5790094,0.5178615,0.49715772,0.3517651069253637
3.0,0.0,0.0,0.5,0.0,3.0,0.8833333333333334,3.0,3.0,0.5,0.5,3.0,3.0,0.4,0.5,0.25,0.5,1.0,3.0,0.6324555320336759,0.4,0.4166666666666667,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4444444444444444,1.0,1.0,0.5790094,0.5178615,0.49715772,0.3180054178257627
3.0,0.0,0.0,0.5,0.0,3.0,0.8833333333333334,3.0,3.0,0.5,0.5,3.0,3.0,0.4,0.5,0.25,0.5,1.0,3.0,0.6324555320336759,0.4,0.4166666666666667,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4444444444444444,1.0,1.0,0.5790094,0.5178615,0.49715772,0.1575447689909245
3.0,0.0,0.0,0.5,0.0,3.0,0.8833333333333334,3.0,3.0,0.5,0.5,3.0,3.0,0.4,0.5,0.25,0.5,1.0,3.0,0.6324555320336759,0.4,0.4166666666666667,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4444444444444444,1.0,1.0,0.5790094,0.5178615,0.49715772,0.1365449529725253
